fund_code,industry_rows,report_count,latest_report
000001,26,4,2025-12-31
000409,21,4,2025-12-31
000697,22,4,2025-12-31
000978,70,4,2025-12-31
001071,43,4,2025-12-31
001480,21,4,2025-12-31
001810,29,4,2025-12-31
001938,42,4,2025-12-31
002939,24,4,2025-12-31
003095,20,4,2025-12-31
004851,19,4,2025-12-31
005267,28,4,2025-12-31
005827,42,4,2025-12-31
006228,21,4,2025-12-31
020005,27,4,2025-12-31
070002,24,4,2025-12-31
110009,57,4,2025-12-31
110022,19,4,2025-12-31
161005,60,4,2025-12-31
163406,29,4,2025-12-31
166002,36,4,2025-12-31
260108,23,4,2025-12-31
340007,33,4,2025-12-31
450002,25,4,2025-12-31
519068,45,4,2025-12-31
519712,42,4,2025-12-31
519736,37,4,2025-12-31
519772,28,4,2025-12-31
540003,17,4,2025-12-31
570001,24,4,2025-12-31
