fund_code,nav_rows,date_min,date_max,null_unit_nav,null_daily_return,null_acc_nav,big_jump_pct
000001,5934,2001-12-18,2026-06-03,0,0,0,0.0
000409,2955,2014-03-07,2026-06-03,0,0,0,0.0
000697,2839,2014-08-26,2026-06-03,0,0,0,0.0
000978,2727,2015-02-04,2026-06-03,0,0,0,0.0
001071,2664,2015-05-15,2026-06-03,0,0,0,0.0
001480,2630,2015-06-29,2026-06-03,0,0,0,0.0
001810,2585,2015-09-30,2026-06-03,0,0,0,0.0
001938,2563,2015-11-03,2026-06-03,0,0,0,0.0
002939,2359,2016-08-24,2026-06-03,0,0,0,0.0
003095,2342,2016-09-29,2026-06-03,0,0,0,0.0
004851,2128,2017-08-10,2026-06-03,0,0,0,0.0
005267,2054,2017-11-06,2026-06-03,0,0,7,0.0
005827,1853,2018-09-05,2026-06-03,0,0,0,0.0
006228,1751,2019-02-28,2026-06-03,0,0,0,0.06
020005,5311,2004-06-18,2026-06-03,0,0,0,0.0
070002,5583,2003-07-09,2026-06-03,0,0,0,0.0
110009,4832,2006-06-13,2026-06-03,0,0,0,0.0
110022,3814,2010-08-20,2026-06-03,0,0,0,0.0
161005,5011,2005-11-16,2026-06-03,0,0,0,0.0
163406,3910,2010-04-22,2026-06-03,0,0,0,0.0
166002,4308,2008-07-25,2026-06-03,0,0,0,0.0
260108,4844,2006-06-28,2026-06-03,0,0,0,0.0
340007,4397,2008-04-30,2026-06-03,0,0,0,0.0
450002,4862,2006-06-14,2026-06-03,0,0,0,0.0
519068,4690,2007-03-12,2026-06-03,0,0,0,0.0
519712,3361,2012-08-03,2026-06-03,0,0,0,0.0
519736,2893,2014-05-09,2026-06-03,0,0,0,0.0
519772,2312,2016-11-11,2026-06-03,0,0,0,0.0
540003,4650,2007-04-09,2026-06-03,0,0,0,0.0
570001,4644,2007-04-19,2026-06-03,0,0,0,0.0
